prox_angle,distal_angle
-0.6099402776364122,-0.19181401784122593
-0.61133700320226,-0.19286449356015156
-0.612811087770114,-0.19455825442922411
-0.6144062562007669,-0.1957567752881423
-0.6158798476206052,-0.19688560931314875
-0.6172809222539128,-0.19955122936037656
-0.6187165478120217,-0.1999772162451649
-0.6203677615041686,-0.20159984561788488
-0.6217848704018777,-0.20263469959464464
-0.6233149822625053,-0.20378323693539155
-0.6246647463300723,-0.2057981585390229
-0.6263177166526822,-0.20674211612343513
-0.6278715041849952,-0.20906537016232357
-0.6293750561477223,-0.2102939662201832
-0.6304371432689848,-0.21061787196203213
-0.6319758096958956,-0.21288665170036739
-0.6335005481329177,-0.2140947157773315
-0.6351071989341598,-0.21471432880056354
-0.636735193733465,-0.2157819783237088
-0.6384244465735509,-0.21662392840467196
-0.6398321086730815,-0.21833361502420634
-0.6412781775952339,-0.21994159290557558
-0.6425267045975963,-0.22147029916426472
-0.6443774547615507,-0.22253955416947435
-0.6460149093537226,-0.2235001048931005
-0.6472226770653606,-0.2241229552840659
-0.6485103950050028,-0.2273762374020532
-0.6497764815859786,-0.2282186536377239
-0.6515053117081867,-0.22932600830877514
-0.6528867993777142,-0.2308915231162667
-0.6540234729171017,-0.23155907498121356
-0.6556754242719104,-0.23241449272528497
-0.6571090416528589,-0.23337666116456962
-0.6583561031274565,-0.2353762777929463
-0.6596134804369601,-0.23727749566927397
-0.6610402070189398,-0.23817427562962618
-0.6623488411390377,-0.2394573565028968
-0.6634401116768712,-0.24196686812939075
-0.6651253679719039,-0.24204006385674134
-0.6663837360655109,-0.24328849726296226
-0.6683737055675865,-0.24402725843179035
-0.6699398790335968,-0.2459254681599298
-0.6710702268595683,-0.24773125993341719
-0.6719165723247682,-0.24834784972319285
-0.6739296389504054,-0.25023251795899665
-0.675156801655755,-0.2517096364647312
-0.6767085412691703,-0.2522602296713923
-0.6790492637625981,-0.25438045111752444
-0.6797072399254392,-0.25595593189347293
-0.6816939351058364,-0.25885894600485415
-0.6827536219551424,-0.260910108655987
-0.6845084711660573,-0.2616656328880765
-0.6862484207020155,-0.2637871836636872
